practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,name,type,canswer,flanker_instruction.started,flanker_instruction.stopped,flanker_instruction_resp.keys,flanker_instruction_resp.rt,flanker_instruction_resp.started,flanker_instruction_resp.stopped,flanker_fix.started,flanker_fix.stopped,admin,participant,session,date,frameRate,
,,,,,,,106.839710500004,None,space,0.18031109999719774,106.839710500004,None,,,1,1,1,2022-10-30_01h44.40.747,60.652045883952184,
,,,,,,,,,,,,,107.054856499999,None,,,,,,
