name,type,canswer,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,flanker_instruction.started,flanker_instruction.stopped,flanker_instruction_resp.keys,flanker_instruction_resp.rt,flanker_instruction_resp.started,flanker_instruction_resp.stopped,flanker_fix.started,flanker_fix.stopped,flanker_stimuli.started,flanker_stimuli.stopped,flanker_practice_resp.keys,flanker_practice_resp.corr,flanker_practice_resp.started,flanker_practice_resp.stopped,fb.started,fb.stopped,flanker_practice_resp.rt,admin,participant,session,date,frameRate,
,,,,,,,8.422451300080866,None,space,1.5551954999100417,8.422451300080866,None,,,,,,,,,,,,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
LLFLL,不一致,f,0,0,0,1,,,,,,,10.002100200159475,None,10.506498100003228,None,None,0,10.506498100003228,None,11.507587000029162,None,,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
FFLFF,不一致,l,0,1,1,3,,,,,,,12.50895810010843,None,13.009031500201672,None,None,0,13.009031500201672,None,14.009968800004572,None,,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
LLLLL,一致,l,0,2,2,0,,,,,,,15.008800300071016,None,15.509322500089183,None,None,0,15.509322500089183,None,16.510303100105375,None,,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
FFFFF,一致,f,0,3,3,2,,,,,,,17.511173200095072,None,18.011836000019684,None,None,0,18.011836000019684,None,19.012625300092623,None,,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
LLLLL,一致,l,1,0,4,0,,,,,,,19.99694770015776,None,20.49748480017297,None,None,0,20.49748480017297,None,21.68196040019393,None,,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
FFLFF,不一致,l,1,1,5,3,,,,,,,22.516244300175458,None,23.016925900010392,None,f,0,23.016925900010392,None,23.066809199983254,None,0.030734799802303314,admin,participant,session,2022-10-29_22h13.23.435,59.92164647232045,
,,,,,,,,,,,,,24.06772070005536,None,,,,,,,,,,,,,,,
