word,colour,congruent,answer,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,cross.started,cross.stopped,text.started,text.stopped,practize.started,practize.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text1.started,text1.stopped,black.started,black.stopped,admin,participant,session,date,frameRate,
,,,,,,,,10.917099999998754,None,space,4.150332299999718,10.917099999998754,None,,,,,,,,,,,,,,,,1,1,1,2022-10-30_01h41.31.358,59.533093850806274,
绿,green,1,f,0,0,0,9,,,,,,,15.113712500002293,None,15.598727299999155,None,16.39866360000451,None,d,0,0.9640660000004573,16.39866360000451,None,17.41578130000562,None,18.437800899999274,None,1,1,1,2022-10-30_01h41.31.358,59.533093850806274,
红,green,0,f,0,1,1,12,,,,,,,19.95082199999888,None,20.45221130000573,None,21.250975000002654,22.250867400005518,f,1,1.5227196999985608,21.250975000002654,None,22.80116580000322,None,23.8024360000054,None,1,1,1,2022-10-30_01h41.31.358,59.533093850806274,
绿,yellow,0,k,0,2,2,17,,,,,,,25.303787400000147,None,25.819134500001383,None,26.63631919999898,27.63641220000136,None,0,,26.63631919999898,None,28.63734110000223,None,29.63924880000559,None,1,1,1,2022-10-30_01h41.31.358,59.533093850806274,
红,red,1,d,0,3,3,8,,,,,,,31.140495600004215,None,31.654531200001657,None,32.456549800001085,33.457149100002425,None,0,,32.456549800001085,None,34.456005700005335,None,35.455860800000664,None,1,1,1,2022-10-30_01h41.31.358,59.533093850806274,
